关键词,公司名称,法人,登记状态,成立日期,统一社会信用代码,注册资本,实缴资本,工商注册号,纳税人识别号,组织机构代码,行业,注册地址,经营范围
数据资产确权,东莞市豪斯特热冲压技术有限公司,申巍,开业,2013-11-15,91441900082641476W,34666.68万人民币,34666.68万人民币,441900001771227,91441900082641476W,08264147-6,-,广东省东莞市横沥镇横沥桃园一路2号101室,热冲压汽车零部件成套设备的研发、生产、销售和技术服务，汽车零部件冷、热冲压模具开发；冷、热冲压零件生产；汽车零部件焊接生产和销售，特种模具的研发、生产和销售，自动化及工艺辅助设计相关软件开发、销售和技术服务；货物进出口、技术进出口（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓
数据资产确权,山大地纬软件股份有限公司,郑永清,开业,1992-11-19,91370000614070564Q,40001万人民币,40000.99万人民币,370000018080356,91370000614070564Q,61407056-4,软件和信息技术服务业,山东省济南市章丘区文博路1579号,许可项目：输电、供电、受电电力设施的安装、维修和试验；建设工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：软件销售；软件开发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及外围设备制造；计算机软硬件及辅助设备零售；技术进出口；计算机及通讯设备租赁；住房租赁；非居住房地产租赁；人力资源服务（不含职业中介活动、劳务派遣服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
数据资产确权,浪潮集团有限公司,邹庆忠,开业,1989-02-03,913700001630477270,102437.6735万人民币,89327.187714万人民币,370000018019745,913700001630477270,16304772-7,-,山东省济南市高新区浪潮路1036号,商用密码产品的开发、生产、销售（有效期限以许可证为准）；计算机及软件、电子及通信设备（不含无线电发射设备）的生产、销售；许可证范围内的进出口业务；电器机械、五金交电销售；计算机应用、出租及计算机人员培训服务；智能化工程设计、施工（凭资质证书经营）；集成电路、半导体发光材料、管芯器件及照明应用产品的设计、开发、生产、销售、安装施工；房屋租赁、物业管理；设备租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
数据资产确权,山大地纬软件股份有限公司成都分公司,韩作杰,存续,2017-03-08,91510107MA6CLA2H21,-,-,510107001311204,91510107MA6CLA2H21,MA6CLA2H-2,软件和信息技术服务业,成都市武侯区洗面桥街8号3层7号,计算机软、硬件产品开发、销售及相关技术服务、技术转让；资质证书批准范围内的进出口业务；计算机设备租赁；房屋租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
数据资产确权,浪潮电子信息产业股份有限公司,彭震,开业,1998-10-28,91370000706266601D,147213.5122万人民币,145400万人民币,370000018017893,91370000706266601D,70626660-1,-,山东省济南市高新区草山岭南路801号9层东侧,一般项目：计算机软硬件及外围设备制造；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；互联网设备销售；互联网设备制造；软件开发；软件销售；通信设备制造；通信设备销售；通用设备制造（不含特种设备制造）；电子专用材料制造；电子专用材料研发；电子专用材料销售；制冷、空调设备制造；制冷、空调设备销售；钟表与计时仪器制造；钟表与计时仪器销售；计算器设备销售；玩具制造；玩具销售；教学用模型及教具制造；教学用模型及教具销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机及通讯设备租赁；计算机及办公设备维修；非居住房地产租赁；工程和技术研究和试验发展；工程管理服务；信息系统集成服务；变压器、整流器和电感器制造；配电开关控制设备制造；配电开关控制设备销售；电池制造；电池销售；锻件及粉末冶金制品制造；锻件及粉末冶金制品销售；金属结构制造；金属结构销售；玻璃制造；金属材料制造；金属材料销售；喷涂加工；云计算设备制造；云计算设备销售；信息技术咨询服务；网络技术服务；智能控制系统集成；信息安全设备制造；信息安全设备销售；网络与信息安全软件开发；数字视频监控系统制造；数字视频监控系统销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：进出口代理；技术进出口；货物进出口；各类工程建设活动；建设工程设计；建筑智能化系统设计；建筑智能化工程施工（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）
数据资产确权,山东山大电力技术股份有限公司,张波,开业,2001-04-12,913700007275744940,12216万人民币,5280万人民币,370000018067261,913700007275744940,72757449-4,建筑安装业,济南高新技术产业开发区颖秀路山大科技园内,电力设备及系统、节能设备、储能设备、光伏电站设备、机电一体化设备、网络安全设备、安防设备、仪器仪表、计算机及网络设备的开发、设计、生产、销售、技术服务、技术咨询、安装及维护；计算机软件开发、生产、销售、服务、技术转让、咨询；信息系统集成及服务；电动汽车充换电设备、新能源电力设备、充电运营系统的开发、生产销售、运营、维护、安装和技术服务；电动汽车充换电站的建设、运营和维护；电网线路及电力设备的检测、维修技术服务；无人机的技术开发、销售；电力销售、电力供应；设备租赁；房屋租赁；普通货运（有效期以许可证为准）；汽车租赁；出租汽车客运；安全技术防范工程设计、施工（须凭资质证书经营）；承装（修、试）电力设施；电力工程施工总承包；消防设施检测、维修、保养；消防设施工程专业承包；自营和代理各类产品和技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
数据资产确权,山大地纬软件股份有限公司深圳分公司,郭淼,存续,2017-01-10,91440300MA5DT2RU9F,-,-,440301118601533,91440300MA5DT2RU9F,MA5DT2RU-9,软件和信息技术服务业,深圳市福田区香蜜湖街道竹林社区竹子林五路20号竹林花园7栋307,一般经营项目是：计算机软、硬件产品开发、销售及相关技术服务、技术转让（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；资质证书批准范围内的进出口业务；计算机设备租赁（不含金融租赁）；房屋租赁。(依法须经批准的项目，经相关部门批准后方可开展经营活动），许可经营项目是：计算机软、硬件产品生产。
数据资产确权,浪潮数字（山东）科技有限公司,张玉新,开业,2000-12-28,91370000726229592Y,12690万人民币,12690万人民币,370000018065401,91370000726229592Y,72622959-2,软件和信息技术服务业,山东省济南市高新区浪潮路1036号浪潮科技园S06楼六层北区601室,公司经营范围：水文自动化系统设备的开发、生产及销售；水利工程的设计与施工；水利与水务信息化、自动化的系统集成及软硬件产品的开发、生产及销售；教育云平台、教育应用及数据分析处理等软硬件产品的开发、生产及销售；环境监测监控信息化、自动化的系统集成及软硬件产品、环境监测设备和数据的采集与传输设备的开发、生产及销售；会议系统、干部测评系统软硬件产品的开发、生产、销售及服务；计算机软硬件及外部设备、图像采集设备的开发、生产及销售；资质证书规定范围内的系统集成、电子与建筑智能化工程、建筑装修装饰工程、消防设施工程（凭资质经营）、安防工程的设计、施工及服务；房屋出租；物业管理；仪器仪表、计量器具、检测设备的代理销售；数控机床及配件、普通机械设备及配件的研发、生产、销售及维修；相关技术转让、技术咨询、技术服务；信息咨询及服务，设备租赁；资格证书范围内的进出口业务；物联网服务；农业技术研发、推广、咨询服务；水肥(药)一体化系统生产、销售与安装；灌溉服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
数据资产确权,山大地纬软件股份有限公司青海分公司,郭淼,,2016-04-15,91630105MA752BM3X4,-,-,630105060331940,91630105MA752BM3X4,MA752BM3-X,软件和信息技术服务业,青海省西宁市城北区柴达木路116号3号楼1楼商铺,为总公司承揽以下业务：计算机软、硬件产品开发、销售及相关技术服务、技术转让；资质证书批准范围内的进出口业务；计算机设备租赁；房屋租赁(以上范围依法须经批准的项目，经相关部门批准后方可开展经营活动）※※※
数据资产确权,山大地纬软件股份有限公司武汉分公司,金倩,,2016-08-12,91420100MA4KNA0Q8W,-,-,420100000670372,91420100MA4KNA0Q8W,MA4KNA0Q-8,软件和信息技术服务业,中国（湖北）自贸区武汉片区关南四路35号东港木业生产厂房2层050号,计算机软硬件产品开发、销售及相关技术服务、技术转让。（依法须经审批的项目，经相关部门审批后方可开展经营活动）
数据资产确权,浪潮软件股份有限公司,赵绍祥,开业,1994-11-07,913700004941904564,32409.8753万人民币,32409.8753万人民币,370000018051525,913700004941904564,49419045-6,软件和信息技术服务业,山东省泰安市岱岳区东岳大街527号,通信及计算机软硬件技术开发、生产、销售；通信及计算机网络工程技术咨询、技术培训；通信工程施工总承包；资格证书许可范围内的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
数据资产确权,山东山大鸥玛软件股份有限公司,任年峰,开业,2005-02-25,91370000772057998D,15341.76万人民币,3699万人民币,370000018083748,91370000772057998D,77205799-8,软件和信息技术服务业,山东省济南市高新区伯乐路128号,许可项目：互联网信息服务；第一类增值电信业务；第二类增值电信业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：软件开发；人工智能应用软件开发；软件销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；信息系统集成服务；计算机软硬件及辅助设备零售；计算机软硬件及外围设备制造；计算机及通讯设备租赁；技术进出口；租赁服务（不含许可类租赁服务）；会议及展览服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
数据资产确权,,,,2016-08-29,11420624011191295J,,,,,,未公示,,
数据资产确权,广州新赫信息科技有限公司,赵忠波,开业,2019-01-14,91440101MA5CL8YP4N,2000万人民币,690万人民币,440112002393085,91440101MA5CL8YP4N,MA5CL8YP-4,-,广州市黄埔区科珠路233号3号楼601-604房,计算机信息安全产品设计;计算机房设计服务;无线通信网络系统性能检测服务;网络信息技术推广服务;计算机网络系统工程服务;计算机技术开发、技术服务;计算机技术转让服务;科技信息咨询服务;商务咨询服务;企业管理咨询服务;办公设备批发;办公设备耗材零售;互联网商品销售（许可审批类商品除外）;软件批发;通用机械设备销售;计算机及通讯设备租赁;数据处理和存储服务;商品信息咨询服务;工程项目管理服务;信息电子技术服务;集成电路设计;数据交易服务;数据处理和存储产品设计;安全生产技术服务;软件测试服务;计算机房维护服务;软件开发;软件服务;软件零售;软件技术推广服务;信息系统集成服务;信息技术咨询服务;机械设备租赁;机械工程设计服务;机械技术推广服务;机械设备专业清洗服务;监控系统工程安装服务;保安监控及防盗报警系统工程服务;机电设备安装服务;智能化安装工程服务;通信信号系统工程服务;通信线路和设备的安装;受企业委托从事通信网络的维修、维护（不涉及线路管道铺设等工程施工）;科技项目代理服务;互联网区块链技术研究开发服务;房屋建筑工程施工;室内装饰、装修;
数据资产确权,海南川海土地科学研究院,李国林,存续,1998-01-12,91460000708850908F,200万人民币,-,460000000057223,91460000708850908F,70885090-8,专业技术服务业,海口市沿江二东路环惠大厦2005房,国土及矿产规划、调查、整治、勘测、设计、评估、评价、咨询、培训服务及相关技术课题研究；自然资源确权代理登记、调查、评估、评价；农业资源（资产）调查、评估；地图数字化、影像采集处理、地理信息系统工程；控制测量、地形测量、工程测量、地理测量、房产测绘；不动产评估、不动产测绘、不动产代理登记、不动产数据库建设；计算机软件开发、技术服务；计算机软件、硬件零售兼批发。
数据资产确权,重庆新致汽车科技有限公司,杨东房,存续,2016-07-20,91500112MA5U70ER11,11764.7059万人民币,11764.7059万人民币,500112008899540,91500112MA5U70ER11,MA5U70ER-1,互联网和相关服务,重庆市渝北区仙桃街道数据谷东路19号,一般项目：大数据开发及相关技术服务；计算机信息技术咨询服务；数据处理和存储服务；网站建设、网络平台运营管理、技术咨询、技术服务；计算机软件开发、设计、销售；计算机系统集成；计算机软硬件及相关配套件的销售；佣金代理；互联网相关技术服务（不含互联网上网服务）；房屋租赁（不含住宿服务），技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
数据资产确权,北京新致君阳信息技术有限公司,冯国栋,存续,2011-03-29,91110108573249380F,10000万人民币,400万人民币,110108013719234,91110108573249380F,57324938-0,软件和信息技术服务业,北京市顺义区金航西路4号院2号楼4层419室—K019（天竺综合保税区）,技术开发、技术推广、技术转让、技术咨询、技术服务；计算机技术培训；计算机系统服务；数据处理；计算机维修；基础软件服务；应用软件服务（不含医用软件）；销售计算机、软件及辅助设备、电子产品。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
数据资产确权,深圳新致软件有限公司,郭宇翔,存续,2014-07-11,914403003985772635,2000万人民币,2000万人民币,440301109833029,914403003985772635,39857726-3,-,深圳市南山区粤海街道高新区社区科技南路18号深圳湾科技生态园12栋裙楼525,计算机软硬件及配件的研发、技术咨询、销售及上门维修；数据库管理；数据库服务；电子产品的销售。
数据资产确权,上海新致金科信息技术有限公司,张喆宾,存续,2015-01-20,91310000324439589X,1628.6644万人民币,1628.6644万人民币,310141000126248,91310000324439589X,32443958-9,软件和信息技术服务业,上海市徐汇区中山西路2020号501、502、503、504室,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；信息系统集成服务；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；货物进出口；技术进出口；房地产咨询；房地产评估；市场营销策划；接受金融机构委托从事信息技术和流程外包服务（不含金融信息服务）；信息咨询服务（不含许可类信息咨询服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
数据资产确权,成都新致云服信息技术有限公司,肇文兵,存续,2018-10-19,91510100MA67L7GH9E,5000万人民币,5000万人民币,510109001528464,91510100MA67L7GH9E,MA67L7GH-9,软件和信息技术服务业,中国（四川）自由贸易试验区成都高新区吉庆三路333号1栋3单元27层2705号,一般项目：信息技术咨询服务；软件开发；信息系统集成服务；计算器设备销售；信息系统运行维护服务；电子产品销售；集成电路销售；软件销售；非居住房地产租赁（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。
数据资产确权,上海新致百果信息科技有限公司,王浩,存续,2005-06-28,91310118777125582E,802.75万人民币,802.75万人民币,310229001080407,91310118777125582E,77712558-2,软件和信息技术服务业,上海市闵行区闵北路88弄1-30号104幢1层A区,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机系统服务；信息系统集成服务；建筑材料销售；建筑装饰材料销售；机械电气设备销售；电子产品销售；文具用品零售；日用百货销售；日用品销售；房地产评估；房地产经纪；房地产咨询；信息咨询服务（不含许可类信息咨询服务）；市场营销策划。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
数据资产确权,青岛新致企服信息技术有限公司,寇祖亮,,2019-03-05,91370202MA3P85YT6N,4500万,4500万,370202020005691,91370202MA3P85YT6N,MA3P85YT-6,软件和信息技术服务业,山东省青岛市市南区宁夏路288号3号楼106室,软件开发；计算机软件开发、设计、销售；计算机系统集成；计算机软硬件及相关配套件的销售；商务中介；互联网相关技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
数据资产确权,成都新致软件有限公司,富立新,,2014-09-09,91510100395773373H,2000万人民币,-,510109000482476,91510100395773373H,39577337-3,研究和试验发展,成都市高新区二环南路四段10号5楼511号,研发计算机软硬件并提供技术咨询、技术服务；网络技术研发、技术转让、技术咨询；计算机系统集成；批发软件、计算机软硬件及外围设备。（依法须经批准的项目、经相关部门批准后方可开展经营活动）。
数据资产确权,上海数科晟欧技术有限公司,李峰,存续,2008-08-07,913101136778883989,200万人民币,200万人民币,310115001083434,913101136778883989,67788839-8,软件和信息技术服务业,上海市宝山区同泰北路183号1号楼512室,计算机软硬件开发、销售及技术服务，系统集成，计算机网络工程技术的研发，通讯产品、电子产品、仪器仪表的开发、设计、销售，从事货物与技术的进出口。 【依法须经批准的项目，经相关部门批准后方可开展经营活动】
数据资产确权,上海前置通信技术有限公司,郭玮,存续,2003-10-28,91310115755727742P,1000万人民币,80.725万人民币,310115000798506,91310115755727742P,75572774-2,科技推广和应用服务业,上海市浦东新区曹路镇顾曹路589号,许可项目：第一类增值电信业务；第二类增值电信业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：从事通信设备科技领域的技术开发、技术转让、技术咨询、技术服务，电子产品销售，通讯设备销售，计算机硬件及辅助设备零售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
数据资产确权,苏州新致软件有限公司,隋卫东,,2009-11-20,,1000万人民币,1000万人民币,320512000109576,,,专业技术服务业,苏州高新区科灵路2号,许可经营范围:一般经营范围:以服务外包的形式承接；计算机软件开发、技术服务。
数据资产确权,,,,,12510100450754475E,,,,,,,,
数据资产确权,成都乐链科技有限公司,刘斌,存续,2019-11-05,91510107MA62KM308M,1086.9565万人民币,386.9566万人民币,510107002103845,91510107MA62KM308M,MA62KM30-8,软件和信息技术服务业,四川省成都市新都区新都街道兴业大道一段1105号附210号,一般项目：软件开发；信息技术咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；数据处理和存储支持服务；信息系统集成服务；物联网技术研发；广告设计、代理；广告制作；广告发布（非广播电台、电视台、报刊出版单位）；平面设计；企业管理咨询；企业管理；信息咨询服务（不含许可类信息咨询服务）；法律咨询（不包括律师事务所业务）；健康咨询服务（不含诊疗服务）；礼仪服务；文艺创作；其他文化艺术经纪代理；娱乐性展览；市场调查（不含涉外调查）；社会调查（不含涉外调查）；教育咨询服务（不含涉许可审批的教育培训活动）；数字内容制作服务（不含出版发行）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。许可项目：演出经纪；第二类增值电信业务；第一类增值电信业务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。
数据资产确权,,,,,12510303740003987P,,,,,,,,
数据资产确权,子亥科技（成都）有限公司,李志,存续,2021-04-13,91510100MA69KBN60K,500万人民币,20万人民币,510109002518195,91510100MA69KBN60K,MA69KBN6-0,软件和信息技术服务业,中国（四川）自由贸易试验区成都高新区新通大道777号1栋2单元5楼01号,一般项目：软件开发；人工智能应用软件开发；网络与信息安全软件开发；人工智能理论与算法软件开发；人工智能基础软件开发；可穿戴智能设备销售；计算机软硬件及辅助设备零售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；数字文化创意软件开发；数字内容制作服务（不含出版发行）；数据处理和存储支持服务；工业设计服务；大数据服务；信息系统集成服务；智能机器人销售；智能家庭消费设备销售；人工智能通用应用系统；物联网应用服务；互联网数据服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
数据资产确权,成都恒图科技有限责任公司,段江,存续,2009-09-02,915101006936680453,100万人民币,100万人民币,510109000089610,915101006936680453,69366804-5,软件和信息技术服务业,中国（四川）自由贸易试验区成都高新区吉庆四路188号1栋1单元6层617号,一般项目：软件开发；技术进出口；货物进出口；信息技术咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；数字内容制作服务（不含出版发行）；工业设计服务；信息系统集成服务；平面设计；专业设计服务；知识产权服务（专利代理服务除外）；版权代理；广告设计、代理；广告发布；广告制作。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第二类增值电信业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
数据资产确权,成都九宽科技有限公司,段江,存续,2018-05-07,91510105MA6CEJ0K00,1176.4705万人民币,788.4705万人民币,510105000783057,91510105MA6CEJ0K00,MA6CEJ0K-0,软件和信息技术服务业,成都市青羊区人民中路二段29号1栋35层1号,一般项目：软件开发；信息技术咨询服务；数字内容制作服务（不含出版发行）；数据处理和存储支持服务；信息系统集成服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；企业管理；自然科学研究和试验发展；法律咨询（不含依法须律师事务所执业许可的业务）；健康咨询服务（不含诊疗服务）；平面设计；专业设计服务；知识产权服务（专利代理服务除外）；版权代理；网络文化经营。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
数据资产确权,成都比特跳动科技有限公司,尹国梓,存续,2018-12-06,91510105MA6B3KW29Q,100万人民币,10万人民币,510105000829353,91510105MA6B3KW29Q,MA6B3KW2-9,软件和信息技术服务业,成都市青羊区太升北路28号2楼,软件和信息技术服务业；数据处理与存储服务；数字内容服务；设计、制作、代理、发布广告；文艺创作与表演；组织管理服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
数据资产确权,贵州中蒲资产交易管理中心有限责任公司,程潜,,2019-09-04,91520390MA6HYH0B5A,5000万人民币,-,520390000152422,91520390MA6HYH0B5A,MA6HYH0B-5,其他金融业,贵州省遵义市新蒲新区经开大道,法律、法规、国务院决定规定禁止的不得经营；法律、法规、国务院决定规定应当许可（审批）的，经审批机关批准后凭许可（审批）文件经营;法律、法规、国务院决定规定无需许可（审批）的，市场主体自主选择经营。（资产登记、确权、流转、交易、结算服务；资产证券化、金融产品研究开发及咨询服务。资产管理、受托资产管理、委托债权转让交易、应收账款转让交易和票据收益权转让交易。市场管理服务；大数据服务；市场调研及数据分析服务；知识产权服务；经济咨询服务；供应链管理服务。涉及许可经营项目，应取得相关部门许可后方可经营）
数据资产确权,,,,,12530000MB0318334M,,,,,,,,
数据资产确权,,,,,1253000032918655XU,,,,,,,,
数据资产确权,云基华海信息技术股份有限公司,许丽,开业,2013-03-27,91610000064812972G,8421.0526万人民币,513.6665万人民币,610000100550802,91610000064812972G,06481297-2,机动车、电子产品和日用产品修理业,陕西省西安市高新区沣惠南路16号泰华金贸国际12幢11601室,一般项目：软件销售；软件开发；软件外包服务；人工智能基础软件开发；网络与信息安全软件开发；区块链技术相关软件和服务；人工智能应用软件开发；人工智能理论与算法软件开发；计算机软硬件及辅助设备批发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备零售；数据处理和存储支持服务；大数据服务；数据处理服务；人工智能公共数据平台；信息系统运行维护服务；信息系统集成服务；会议及展览服务。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)
数据资产确权,甘肃中衡众城征收咨询测绘工程有限公司,虎冠军,存续,2020-01-14,91620502MA72F45E0A,206万人民币,206万人民币,620502200073520,91620502MA72F45E0A,MA72F45E-0,专业技术服务业,甘肃省天水市秦州区民主东路天麟金融大厦8楼801室,征收项目全流程信息化管理，前期工作计划、安置补偿方案拟定，服务方案设计。摸底调查建档、确权确户，未登记建筑调查、认定；各类评估价值、基准价、经营停产损失计算。征收动迁、安置、协议签订、档案管理、拆除、征收法务服务。政策咨询，房地产经纪、不动产登记事务服务。系统提供棚户区改造、房屋征收，土地储备相关第三方全流程服务。摄影测量与遥感，地理信息系统工程，工程测量，不动产测绘，勘测定界，地图绘制，航拍航测及器材服务。其他：绩效评价；网络司法拍卖辅助服务；社会稳定风险评估；资产经营管理服务；城市更新土地整备项目相关服务；工程咨询、项目管理咨询、项目可行性研究。数据信息服务。房屋质量安全检测、鉴定服务，环境影响评价服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***
数据资产确权,,,,,126400004540016576,,,,,,,,
数据评估,中关村数海数据资产评估中心有限公司,秦翯,存续,2015-05-27,911101083442818116,5000万人民币,-,110108019186053,911101083442818116,34428181-1,科技推广和应用服务业,北京市海淀区东冉北街9号宝蓝金园国际中心四层B4008-1,资产评估；价格评估；经营电信业务；技术开发、技术咨询、技术服务、技术推广、技术转让。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
数据评估,国信优易数据股份有限公司,张弛,存续,2015-03-26,91110106335528376J,9790.9922万人民币,9790.9922万人民币,110106018814015,91110106335528376J,33552837-6,-,北京市丰台区南四环西路188号一区31号楼1层101-8(园区),数据处理；技术开发、技术服务、技术转让；经济信息咨询服务；计算机系统服务；计算机系统集成；基础软件服务；应用软件服务；销售计算机、软件及辅助设备、电子产品、通讯设备、社会公共安全设备、文具用品；会议服务；承办展览展示活动；市场调查；企业策划；企业管理咨询；设计、制作、代理、发布广告。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
数据评估,中联资产评估集团北京数据有限公司,陈志红,存续,2000-04-14,911101027226039032,5000万人民币,100万人民币,110000001287914,911101027226039032,72260390-3,商务服务业,北京市北京经济技术开发区（通州）嘉创二路55号1幢2层101-1221-1室,一般项目：互联网数据服务；资产评估；破产清算服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备零售；信息系统集成服务；软件销售；软件开发；软件外包服务；数据处理服务；大数据服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
数据评估,北京立信数据资产评估有限公司,周晓丹,存续,2024-01-23,91110105MAD9AJWH8F,500万人民币,-,110105038128072,91110105MAD9AJWH8F,MAD9AJWH-8,商务服务业,北京市朝阳区豆各庄黄厂西路1号C3栋五层1180,一般项目：资产评估；企业管理咨询；社会经济咨询服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
数据评估,北京国京汇德数据资产评估有限公司,李国伏,存续,2021-05-14,91110112MA02B0FY2P,100万人民币,-,110112031039251,91110112MA02B0FY2P,MA02B0FY-2,商务服务业,北京市海淀区复兴路2号41幢3层311号,一般项目：资产评估；大数据服务；人工智能公共数据平台；人工智能公共服务平台技术咨询服务；信息系统集成服务；数据处理服务；数据处理和存储支持服务；互联网数据服务；工业互联网数据服务；软件开发；物联网技术服务；物联网应用服务；企业管理；企业总部管理；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；5G通信技术服务；云计算装备技术服务；互联网安全服务；人工智能通用应用系统；人工智能应用软件开发；人工智能基础软件开发；人工智能双创服务平台；人工智能行业应用系统集成服务；人工智能理论与算法软件开发；人工智能基础资源与技术平台；数字文化创意内容应用服务；数字文化创意软件开发；会议及展览服务；区块链技术相关软件和服务；基于云平台的业务外包服务；量子计算技术服务；智能机器人的研发；集成电路设计；网络与信息安全软件开发；智能控制系统集成；信息技术咨询服务；信息系统运行维护服务；计算机系统服务；数字技术服务；网络技术服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
数据评估,烽台科技（北京）有限公司,魏钦志,存续,2015-08-18,9111010835295529XG,10000万人民币,5000万人民币,110108019699842,9111010835295529XG,35295529-X,科技推广和应用服务业,北京市海淀区北坞村路甲25号静芯园I座一层101室,技术开发、技术咨询、技术推广、技术服务、技术转让；计算机系统服务；应用软件服务；基础软件服务；数据处理（数据处理中心的银行卡中心、PUE值在1.4以上的云计算数据中心除外）；软件开发；软件咨询；市场调查；企业管理咨询；企业策划、设计；工程和技术研究与试验发展；销售自行开发的产品、机械设备、电子产品、五金交电（不含电动自行车）、化工产品（不含危险化学品及一类易制毒化学品）、金属材料、橡胶制品、塑料制品、计算机、软件及辅助设备。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
数据评估,国网北京市电力公司,王昕伟,存续,1991-09-17,911100008013656325,2895019.978443万人民币,241515万人民币,110102000531870,911100008013656325,80136563-2,电力、热力生产和供应业,北京市西城区前门西大街41号,电力供应；电力设备的运行、维修；投资及投资管理；技术开发、技术咨询、技术转让、技术培训、技术服务；施工总承包；专业承包、劳务分包。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
